title,profitable_budget,profitable_revenue
Viva Riva!,0.0,43880.0
0,0.0,0.1019
The Dictator,6.5E7,1.79379536E8
Keyhole,0.0,21291.0
The Island President,0.0,76398.0
Men in Black 3,2.25E8,6.2402675E8
Snow White and the Huntsman,1.7E8,3.966E8
Chernobyl Diaries,0.0,1.8112928E7
The Pirates! In an Adventure with Scientists!,6.0E7,1.1833836E8
Prometheus,1.3E8,4.03170144E8
Bernie,5000000.0,9206470.0
Moonrise Kingdom,1.6E7,6.8263168E7
Texas Killing Fields,0.0,957240.0
Kahaani,1200000.0,1.6E7
A Few Best Men,1.2468389E7,2.9007412E7
Love's Deadly Triangle: The Texas Cadet Murder,1.4E7,1.61001696E8
Safety Not Guaranteed,750000.0,4007792.0
Madagascar 3: Europe's Most Wanted,1.45E8,7.4692128E8
Blackthorn,0.0,623528.0
Your Sister's Sister,125000.0,3200000.0
Brave,1.85E8,5.3898323E8
What to Expect When You're Expecting,4.0E7,7.97E7
To Rome with Love,1.7E7,7.324488E7
Abraham Lincoln: Vampire Hunter,6.9E7,1.12265136E8
Ted,5.0E7,5.4936832E8
Magic Mike,7000000.0,1.67221568E8
The Amazing Spider-Man,2.15E8,7.5221587E8
Ice Age: Continental Drift,9.5E7,8.772448E8
Beasts of the Southern Wild,1800000.0,2.1107746E7
Savages,4.5E7,8.2966152E7
0,0.0,0.183421
Mooz-lum,0.0,330048.0
The Watch,6.8E7,6.8267864E7
Being Flynn,0.0,540152.0
Ruby Sparks,0.0,9128263.0
Total Recall,1.25E8,1.9880208E8
The Angels' Share,0.0,7034007.0
"Love, Wedding, Marriage",1.0,1378.0
Skyfall,2.0E8,1.10856102E9
The Campaign,0.0,1.04907744E8
Hope Springs,3.0E7,1.14281048E8
The Queen of Versailles,0.0,714544.0
ParaNorman,6.0E7,1.071394E8
Diary of a Wimpy Kid: Dog Days,2.2E7,7.7112176E7
War of the Arrows,8000000.0,4.9E7
Celeste & Jesse Forever,0.0,3094813.0
Hit & Run,2000000.0,1.44E7
The Odd Life of Timothy Green,0.0,5.1854876E7
Lawless,2.6E7,5.367658E7
Piranha 3DD,5000000.0,8493728.0
The Possession,1.4E7,8.5446072E7
Little White Lies,2.5E7,4.8531472E7
Bachelorette,3000000.0,1.1947954E7
The Words,6000000.0,1.3231461E7
Pitch Perfect,1.7E7,1.15350424E8
Looper,3.0E7,4.7042E7
Compliance,0.0,319285.0
Thy Womb,0.0,306.0
Deathstalker,0.0,8890685.0
Robot & Frank,2500000.0,3325038.0
Ai Weiwei: Never Sorry,0.0,181107.0
Resident Evil: Retribution,6.5E7,2.40159248E8
360,0.0,1663931.0
Lola Versus,0.0,252603.0
Arbitrage,1.2E7,3.5485056E7
The Friends at the Margherita Cafe,0.0,3006000.0
End of Watch,7000000.0,4.8126384E7
V/H/S,0.0,100345.0
The Perks of Being a Wallflower,1.3E7,3.34E7
The Hunt,3800000.0,1.68E7
Holy Motors,0.0,641100.0
Sparkle,1.4E7,2.4637468E7
Thin Ice,0.0,790421.0
Taken 2,4.5E7,3.76141312E8
House at the End of the Street,6900000.0,4.4287132E7
The Magic of Belle Isle,0.0,102388.0
The Painted Veil,947000.0,1120000.0
Something from Nothing: The Art of Rap,0.0,288312.0
Here Comes the Devil,0.0,4534.0
Katy Perry: Part of Me,1.2E7,3.2726956E7
Sinister,3000000.0,7.771244E7
Hotel Transylvania,8.5E7,3.58375616E8
Coupe de Ville,0.0,715.0
Argo,4.45E7,2.32324128E8
Seven Psychopaths,1.5E7,1.942226E7
Nobody Walks,0.0,24995.0
Butter,0.0,175706.0
Liberal Arts,0.0,327345.0
[REC]³ Genesis,0.0,1.0158E7
Gangs of Wasseypur,1400000.0,4100000.0
Turkish Passion,0.0,3777141.0
Paranormal Activity 4,5000000.0,1.42817984E8
Where the Boys Are '84,0.0,1.053E7
Cloud Atlas,1.02E8,1.30482864E8
Silent Hill: Revelation 3D,2.0E7,5.2302796E7
The Patience Stone,0.0,148671.0
Here Comes the Boom,0.0,7.3100176E7
Killing Them Softly,1.5E7,3.7930464E7
The Sessions,1000000.0,9138338.0
The Babysitters,0.0,44852.0
Wreck-It Ralph,1.65E8,4.7122288E8
Silver Linings Playbook,2.1E7,2.0573872E8
Flight,3.1E7,1.61772368E8
Anna Karenina,0.0,6.8929152E7
Life of Pi,1.2E8,6.0901658E8
The Man with the Iron Fists,1.5E7,1.5608545E7
Won't Back Down,0.0,5310554.0
The Bay,0.0,30668.0
A Late Quartet,0.0,1562546.0
The Lady,0.0,3759582.0
Amour,8900000.0,2.9844752E7
Lincoln,6.5E7,2.7529344E8
The Moth Diaries,0.0,3838.0
The Twilight Saga: Breaking Dawn - Part 2,1.2E8,8.29E8
10 Years,0.0,201146.0
Rise of the Guardians,1.45E8,3.06941664E8
Step Up Revolution,3.3E7,1.40470752E8
0,0.0,1.700876
"Peace, Love & Misunderstanding",0.0,539896.0
The Congress,0.0,455815.0
Hitchcock,0.0,2.357054E7
The Day He Arrives,0.0,11.0
The Shaolin Temple,0.0,1.6157801E7
Shaolin Temple 2: Kids from Shaolin,0.0,3554460.0
Barbara,0.0,4129250.0
The Hobbit: An Unexpected Journey,2.5E8,1.02110355E9
The Master,0.0,8096542.0
Hyde Park on Hudson,0.0,8887603.0
Zero Dark Thirty,4.0E7,1.3282072E8
Chasing Ice,0.0,1328467.0
Warm Bodies,3.5E7,1.16980664E8
The Guilt Trip,4.0E7,4.1863728E7
Django Unchained,1.0E8,4.25368224E8
This Is 40,3.5E7,8.8058784E7
Cirque du Soleil: Worlds Away,0.0,3.41531E7
The Impossible,4.2E7,1.80274128E8
Les Misérables,6.1E7,4.4180976E8
Struck by Lightning,0.0,22930.0
Quartet,1.1E7,5.9520296E7
Silent Night,0.0,14567.0
0,0.0,4.834304
StreetDance 3D,5773100.0,1.814403E7
0,0.0,0.594166
Parental Guidance,2.5E7,1.19772232E8
Born to Be Wild,0.0,7732325.0
The Central Park Five,0.0,273747.0
Rurouni Kenshin,0.0,6.17E7
0,0.0,0.186992
The Sweeney,3730500.0,6294161.0
English Vinglish,2840000.0,1.162E7
Dr. Bronner's Magic Soapbox,0.0,18.0
A Dark Truth,0.0,5750.0
Texas Chainsaw 3D,2.0E7,4.7241944E7
Gangster Squad,6.0E7,1.05200904E8
The Company You Keep,0.0,1.9633028E7
A Haunted House,2500000.0,6.0141684E7
Beyond the Hills,0.0,124919.0
Renoir,0.0,2293798.0
Mama,1.5E7,1.46497776E8
Upstream Color,100000.0,444098.0
Nursery University,0.0,26042.0
Ginger & Rosa,0.0,1005700.0
0,0.0,1.434624
Sunny,3550000.0,4.8E7
Le Chef,0.0,306724.0
Parker,3.5E7,4.621664E7
A Simple Life,0.0,2802459.0
The End of Love,0.0,8326.0
0,0.0,0.39262
Sightseers,0.0,61782.0
Hansel & Gretel: Witch Hunters,5.0E7,2.24803472E8
The Last Godfather,1.34E7,1.67E7
0,0.0,0.511214
Head Games,0.0,14056.0
Ballplayer,0.0,44689.0
LUV,0.0,134634.0
No,0.0,2341226.0
Side Effects,3.0E7,6.3372756E7
Midnight's Children,0.0,884100.0
Identity Thief,3.5E7,1.73965008E8
The ABCs of Death,0.0,21660.0
Doctors Without Borders,0.0,2012.0
Song for Marion,0.0,1697294.0
Beautiful Creatures,6.0E7,6.0052136E7
A Good Day to Die Hard,9.2E7,3.04654176E8
21 & Over,1.3E7,4.8065672E7
Safe Haven,2.8E7,9.7594144E7
Escape from Planet Earth,4.0E7,7.459764E7
Before Midnight,3000000.0,1.1176469E7
The Oranges,0.0,366377.0
Snitch,3.5E7,4.2930464E7
The Pirate Bay: Away From Keyboard,0.0,34664.0
Dark Skies,3500000.0,2.5174316E7
A Coffee in Berlin,300000.0,2750275.0
Jack the Giant Slayer,1.95E8,1.976876E8
The Last Exorcism Part II,5000000.0,1.5179302E7
Lenny Bruce: Swear to Tell the Truth,0.0,21350.0
Wadjda,0.0,1347747.0
G.I. Joe: Retaliation,1.3E8,3.71876288E8
Stoker,1.2E7,1.2077441E7
Oz: The Great and Powerful,2.0E8,4.91868544E8
Satan's Blood,0.0,594947.0
Dead Man Down,0.0,1.807454E7
The Croods,1.35E8,5.8517894E8
I Give It a Year,0.0,2.8234656E7
I'm So Excited!,5000000.0,1.1724119E7
The Call,1.3E7,6.8572376E7
InAPPropriate Comedy,0.0,228.0
In the House,0.0,1.1879046E7
The Place Beyond the Pines,1.5E7,3.5485608E7
Into the White,0.0,704.0
The Host,4.4E7,6.33272E7
Admission,1.3E7,1.8E7
Hey Ram,3900000.0,4900000.0
Evil Dead,1.7E7,9.7542952E7
Trance,2.0E7,2.4261568E7
My Awkward Sexual Adventure,0.0,45250.0
0,0.0,1.116696
Oblivion,1.2E8,2.86168576E8
To the Wonder,0.0,587615.0
42,4.0E7,9.5020216E7
Love Is All You Need,5500000.0,1.0016934E7
Mugabe and the White African,0.0,4542.0
Scary Movie 5,2.0E7,7.8378744E7
The Invincible Iron Man,0.0,5300000.0
Thor: Tales of Asgard,0.0,3100000.0
Pain & Gain,2.5E7,8.6175288E7
Planet Hulk,0.0,7000000.0
A Band Called Death,0.0,125.0
Home Run,1200000.0,2861020.0
The Grandmaster,3860000.0,6.4076736E7
This Is the End,3.2E7,1.2604132E8
Iron Man 3,2.0E8,1.21544E9
The English Teacher,0.0,104810.0
Mud,1.0E7,2.15877E7
Chariots of the Gods,0.0,25.0
The Great Gatsby,1.05E8,3.51040416E8
Star Trek Into Darkness,1.9E8,4.67365248E8
Kiss of the Damned,0.0,14752.0
Cycling with Molière,0.0,1.0759874E7
Only God Forgives,4800000.0,1.0337387E7
The Hangover Part III,1.03E8,3.62000064E8
Fast & Furious 6,1.6E8,7.8867987E8
Epic,1.0E8,2.6842664E8
0,0.0,0.637378
The Broken Circle Breakdown,0.0,5475058.0
Frances Ha,0.0,4069826.0
After Earth,1.3E8,2.4384312E8
Now You See Me,7.5E7,1.17698896E8
Nice Guy Johnny,0.0,25.0
Redd Inc.,500000.0,1000000.0
The Way Way Back,4600000.0,2.3198652E7
Man of Steel,2.25E8,6.628455E8
The Purge,3000000.0,8.9328624E7
The Reluctant Fundamentalist,0.0,519535.0
The Bling Ring,1.5E7,1.9145732E7
Monsters University,2.0E8,7.4355962E8
Hammer of the Gods,0.0,641.0
Fullmetal Alchemist: The Sacred Star of Milos,0.0,7401480.0
Pacific Rim,1.8E8,4.07602912E8
The Best Offer,1.35E7,1.9255872E7
World War Z,2.0E8,5.31864992E8
Elysium,1.15E8,2.86140704E8
We Steal Secrets: The Story of WikiLeaks,0.0,602042.0
Despicable Me 2,7.6E7,9.7076186E8
White House Down,1.5E8,2.05366736E8
The World's End,2.0E7,4.6089288E7
Back to 1942,0.0,311.0
The Thieves,0.0,8.3519696E7
V/H/S/2,0.0,21833.0
The Spectacular Now,2500000.0,6854611.0
Thanks for Sharing,0.0,1065881.0
Stuck in Love,0.0,81071.0
How to Live Forever,0.0,40836.0
The Terror Within,0.0,858591.0
Ip Man: The Final Fight,0.0,37884.0
Killing Season,0.0,39881.0
A Field in England,0.0,32846.0
The Conjuring,1.3E7,3.18000128E8
Turbo,1.35E8,2.82570688E8
Drinking Buddies,0.0,343341.0
The Breath,2000000.0,1.35E7
2 Guns,6.1E7,1.31940408E8
Lost in Thailand,2200000.0,2.08E8
Blue Jasmine,1.8E7,9.9206216E7
And You Thought Your Parents Were Weird!,0.0,402539.0
Percy Jackson: Sea of Monsters,9.0E7,1.74578752E8
The Smurfs 2,1.05E8,3.47434176E8
Alan Partridge: Alpha Papa,4000000.0,9800000.0
Grown Ups 2,8.0E7,2.46984272E8
Kick-Ass 2,2.8E7,6.07E7
Riddick,3.8E7,9.8337296E7
Planes,5.0E7,2.19788704E8
Blackfish,0.0,2063312.0
The Wind Rises,3.0E7,1.179324E8
Jobs,1.2E7,3.5931408E7
The Mortal Instruments: City of Bones,6.0E7,9.0565424E7
Touchy Feely,0.0,35022.0
The Butler,2.5E7,1.15922176E8
In a World...,1000000.0,2963902.0
Ain't Them Bodies Saints,0.0,1031243.0
About Time,1.2E7,8.7100448E7
Chennai Express,1.8E7,6.2E7
Fill the Void,0.0,1775316.0
You're Next,0.0,1.4347E7
The Immortals,50.0,83.0
Instructions Not Included,5500000.0,9.9067208E7
Closed Circuit,0.0,5750401.0
Gravity,1.05E8,7.163927E8
I Spit on Your Grave 2,0.0,809.0
Prisoners,4.6E7,1.22126688E8
Rush,3.8E7,9.0247624E7
The Family,3.0E7,3.6894224E7
Short Term 12,0.0,1600000.0
Paradise: Faith,0.0,6508.0
The To Do List,1500000.0,3566225.0
The Wedding Party,0.0,43.0
Grand Masti,5500000.0,4.7E7
The Notebook,0.0,66559.0
0,0.0,0.515876
Nebraska,1.2E7,1.7654912E7
Enough Said,0.0,2.5288872E7
Scanners II: The New Order,0.0,1.4225876E7
Bad Milo,0.0,19613.0
Special 26,7100000.0,1.8E7
Runner Runner,3.0E7,6.2616648E7
Something in the Air,0.0,85154.0
0,0.0,0.4724
Cloudy with a Chance of Meatballs 2,7.8E7,2.48384624E8
Captain Phillips,5.5E7,9.5E7
Look,0.0,16136.0
Machete Kills,1.2E7,1.5008161E7
Filth,5000000.0,9114264.0
Romeo & Juliet,0.0,1162635.0
Baggage Claim,8500000.0,2.2456508E7
Escape Plan,5.0E7,1.22915112E8
Haute Cuisine,0.0,1.1384015E7
Just Wright,0.0,2.152072E7
My Grandfather's People,0.0,6086224.0
Carrie,3.0E7,8.2394288E7
The Counselor,2.5E7,7.1009336E7
The Congress,0.0,455815.0
One Small Hitch,0.0,7965.0
The Double,0.0,200406.0
12 Years a Slave,2.0E7,1.87E8
Bad Medicine,0.0,2685453.0
Ender's Game,1.1E8,1.25537192E8
The Last Days on Mars,0.0,24084.0
Bad Grandpa,1.5E7,1.51831536E8
Thor: The Dark World,1.7E8,6.4457139E8
Dallas Buyers Club,5000000.0,5.5198284E7
A Touch of Sin,0.0,154120.0
Red Garters,0.0,1300000.0
Pieta,103000.0,3623330.0
Free Birds,5.5E7,1.1E8
Last Vegas,2.8E7,1.34402448E8
So Young,0.0,1.16E8
The Lords of Discipline,0.0,1.1787127E7
0,0.0,0.089969
0,0.0,0.173956
Philomena,1.2E7,1.00129872E8
The Book Thief,0.0,7.658632E7
The Best Man Holiday,1.7E7,7.1625192E7
Ida,2159280.0,1.5298355E7
One Piece Film Strong World,0.0,5.3E7
0,0.0,0.723278
The Hobbit: The Desolation of Smaug,2.5E8,9.584E8
0,0.0,0.7156
Delivery Man,2.6E7,5.1164104E7
Charlie Countryman,0.0,11650.0
Frozen,1.5E8,1.27421901E9
Inside Llewyn Davis,1.1E7,3.293532E7
The Wolf of Wall Street,1.0E8,3.92000704E8
Homefront,2.2E7,4.3058896E7
Cut and Run,0.0,373530.0
August: Osage County,2.5E7,7.4188936E7
Amen,110000.0,270000.0
Evangelion: 3.0 You Can (Not) Redo,0.0,6.0487944E7
American Hustle,4.0E7,2.51171808E8
The Secret Life of Walter Mitty,9.0E7,1.88133328E8
Her,2.3E7,4.7351252E7
0,0.0,0.611892
The Armstrong Lie,0.0,383294.0
Saving Mr. Banks,3.5E7,1.12544576E8
0,0.0,0.212541
Aquí Entre Nos,1.0,2755584.0
Anchorman 2: The Legend Continues,5.0E7,1.73649008E8
Good Ol’ Freda,0.0,135039.0
Snowpiercer,3.92E7,8.6758912E7
Free Style,0.0,140987.0
0,0.0,0.542569
The Physician,3.2E7,5.7284236E7
Grudge Match,4.0E7,4.490726E7
Dhoom,1500000.0,1.2E7
0,0.0,0.00353
A.C.O.D.,0.0,175705.0
Paranormal Activity: The Marked Ones,5000000.0,8.6362368E7
The Lunchbox,1000000.0,4235151.0
Yves Saint Laurent,1.2E7,2.102629E7
The Invisible Woman,0.0,1234254.0
Hunting Elephants,2300000.0,4500000.0
Dragon Ball Z: Battle of Gods,0.0,5.0353E7
Underdogs,2.2E7,2.4E7
"Like Father, Like Son",0.0,1.997896E7
The Railway Man,1.8E7,2.2309224E7
Diana,1.5E7,2.1766272E7
We Are What We Are,0.0,81381.0
The Geographer Drank His Globe Away,0.0,4037782.0
Ride Along,2.5E7,1.53997824E8
Divergent,8.5E7,2.88747904E8
Devil's Due,7000000.0,3.6433976E7
The Final Cut,0.0,551281.0
The First Power,1.0E7,2.2424196E7
A Single Shot,0.0,18642.0
0,0.0,0.11809
Justice League: War,3500000.0,5155325.0
Yeh Jawaani Hai Deewani,7700000.0,4.6E7
Vizontele Tuuba,3000000.0,1.3954476E7
"I, Frankenstein",6.5E7,7.1154592E7
Enemy,0.0,3396726.0
Big Bad Wolves,0.0,33232.0
Labor Day,1.8E7,2.0275812E7
Gloria,0.0,2107925.0
The Monuments Men,7.0E7,1.54984032E8
The Lego Movie,6.0E7,4.69160704E8
RoboCop,1.2E8,2.4268896E8
The Art of the Steal,0.0,64065.0
Nymphomaniac: Vol. II,0.0,2227167.0
"Niko 2 - Little Brother, Big Trouble",0.0,1.7E7
A Long Way Down,0.0,7176347.0
Venus in Fur,0.0,342183.0
Endless Love,2.0E7,3.407792E7
0,0.0,0.499054
On the Other Side of the Tracks,0.0,2.5109572E7
Cold Comes the Night,0.0,16971.0
The Painting,0.0,11229.0
Gerontophilia,0.0,4793.0
About Last Night,1.25E7,4.9002684E7
The Grand Budapest Hotel,3.0E7,1.7460032E8
That Awkward Moment,8000000.0,2.6049082E7
Interstellar,1.65E8,6.7512E8
3 Days to Kill,2.8E7,5.2598E7
Non-Stop,5.0E7,2.228096E8
Breathe In,0.0,15000.0
The Bag Man,0.0,56574.0
0,0.0,2.000631
Obvious Child,0.0,3123963.0
Mr. Peabody & Sherman,1.45E8,2.72912416E8
Need for Speed,6.6E7,2.03277632E8
Son of God,2.2E7,6.7800064E7
Repentance,0.0,215496.0
0,0.0,1.411151
Wanda Nevada,0.0,2411145.0
"Bless Me, Ultima",0.0,1553826.0
From Within,0.0,66456.0
Captain America: The Winter Soldier,1.7E8,7.1476659E8
Starred Up,0.0,54915.0
Noah,1.25E8,3.62637472E8
Mistaken for Strangers,0.0,137460.0
Blank City,0.0,99303.0
Across to Singapore,290000.0,596000.0
Diplomacy,0.0,3946880.0
Muppets Most Wanted,5.0E7,8.0383288E7
Dom Hemingway,0.0,523511.0
Moebius,0.0,2340.0
,0.472069,1.0
Nitro Circus: The Movie,0.0,3903479.0
The Quiet Ones,200000.0,1.7834868E7
Draft Day,2.5E7,2.8831144E7
We Are the Best!,0.0,180590.0
The Amazing Spider-Man 2,2.0E8,7.0571744E8
Oculus,5000000.0,4.4030248E7
Cold in July,0.0,427418.0
American Cyborg: Steel Warrior,0.0,447784.0
Beauty and the Beast,3.3E7,4.91E7
Rio 2,1.03E8,5.00188448E8
Transcendence,1.0E8,1.03039256E8
Heaven is for Real,1.2E7,1.0133296E8
The Other Woman,4.0E7,1.967812E8
Le Week-End,0.0,2225098.0
Brick Mansions,2.8E7,6.8896832E7
0,0.0,0.11619
Locke,2000000.0,4635300.0
Neighbors,1.8E7,2.68157408E8
Tentacles,750000.0,3000000.0
Belle,1.09E7,1.650546E7
A Wednesday!,1400000.0,3500000.0
The Wild Life,0.0,9500000.0
Moms' Night Out,5000000.0,1.0429707E7
Lucy,4.0E7,1.26546824E8
Godzilla,1.6E8,5.29076064E8
Blue Ruin,0.0,258384.0
Chef,1.1E7,4.5967936E7
0,0.0,1.02843
Blended,4.0E7,1.23494608E8
Begin Again,8000000.0,6.346486E7
12 O’Clock Boys,0.0,44.0
The One and Only,0.0,1.6928136E7
Maleficent,1.8E8,7.5853978E8
The Two Faces of January,0.0,4507463.0
Zombeavers,0.0,14947.0
I Like Killing Flies,0.0,14000.0
Edge of Tomorrow,1.78E8,3.70541248E8
Tracks,0.0,4878242.0
Mission: Impossible - Rogue Nation,1.5E8,6.8233011E8
Million Dollar Arm,2.5E7,3.8307628E7
Jimi: All Is by My Side,0.0,340911.0
Luv,0.0,1000000.0
The Fault in Our Stars,1.2E7,3.07166848E8
Minuscule: Valley of the Lost Ants,1.97E7,3.0E7
Jayne Mansfield's Car,0.0,14836.0
A Letter to Momo,0.0,6748712.0
Maps to the Stars,0.0,1338365.0
22 Jump Street,5.0E7,1.88441616E8
The Equalizer,5.5E7,1.92330736E8
How to Train Your Dragon 2,1.45E8,6.0912307E8
Birdman,1.8E7,1.03215096E8
Boyhood,4000000.0,4.4349E7
Think Like a Man Too,2.4E7,7.0181424E7
Jersey Boys,4.0E7,6.7347016E7
The Internet's Own Boy: The Story of Aaron Swartz,0.0,48911.0
Finding Vivian Maier,0.0,1503616.0
Frank,0.0,645186.0
Planes: Fire & Rescue,5.0E7,1.51165792E8
Tammy,2.0E7,1.00525432E8
The Babadook,2000000.0,6676471.0
Whiplash,3300000.0,1.3092E7
Gone Girl,6.1E7,3.69330368E8
Dawn of the Planet of the Apes,1.7E8,7.1064454E8
And So It Goes,1.8E7,2.5312388E7
Sex Tape,4.0E7,1.26069512E8
I Origins,0.0,336472.0
The Purge: Anarchy,9000000.0,1.08782848E8
Words and Pictures,0.0,3346257.0
Guardians of the Galaxy,1.7E8,7.7332864E8
Jimmy's Hall,0.0,2606000.0
The Expendables 3,9.0E7,2.06172544E8
Goliyon Ki Raasleela Ram-Leela,0.0,3.2E7
Hercules,1.0E8,2.434E8
Paradise: Hope,0.0,6701.0
A Most Wanted Man,1.5E7,3.1554856E7
Call of the Wild,0.0,270210.0
Earth to Echo,1.3E7,4.53E7
Step Up All In,4.5E7,8.6165648E7
Get on Up,0.0,3.1911598E7
Magic in the Moonlight,1.68E7,5.102936E7
The Hundred-Foot Journey,2.2E7,8.8880824E7
Batman: Assault on Arkham,0.0,4571025.0
Jupiter Ascending,1.76E8,1.83987728E8
Teenage Mutant Ninja Turtles,1.25E8,4.772E8
Rob the Mob,0.0,206909.0
The Giver,2.5E7,6.6980456E7
The Pretty One,0.0,13769.0
Let's Be Cops,1.7E7,1.36621264E8
My Summer Story,0.0,70.0
Make Your Move,15.0,122.0
Coherence,0.0,102617.0
The Pyramid,6500000.0,1.3865435E7
"As Above, So Below",5000000.0,4.01E7
0,0.0,0.222197
Pride,0.0,7523634.0
Into the Storm,5.0E7,1.60602192E8
The Drop,1.26E7,1.9054534E7
The Skeleton Twins,0.0,5284309.0
0,0.0,6.751603
Beautiful Losers,0.0,56386.0
American Dreams in China,0.0,8.8E7
The Maze Runner,3.4E7,3.48319872E8
No Good Deed,1.32E7,5.3830416E7
Target,0.0,73000.0
